,num_orders,num_customers,total_money_spent,average_order_cost,discount_value,discount_value_per_customer,discount_cost,population_reached,population_reached_per
10,13,1,225.8,17.37,45.16,45.16,0.0,0,0.0
9,10,1,158.18,15.82,31.64,31.64,45.16,1,0.08
8,9,1,139.31,15.48,27.86,27.86,76.8,2,0.17
7,8,1,183.83,22.98,36.77,36.77,104.66,3,0.25
6,7,4,497.68,17.77,99.54,24.88,141.42,4,0.33
5,6,6,642.68,17.85,128.54,21.42,240.96,8,0.67
4,5,19,1594.18,16.78,318.84,16.78,369.5,14,1.17
3,4,33,2124.88,16.1,424.98,12.88,688.33,33,2.75
2,3,83,4205.38,16.89,841.08,10.13,1113.31,66,5.5
1,2,267,8593.64,16.09,1718.73,6.44,1954.38,149,12.42
